tourist_id,timestamp,latitude,longitude,speed,is_abnormal
1,2026-01-01T09:00:00,11.017092,76.955908,2.1,0
1,2026-01-01T09:01:00,11.017259,76.956228,3.71,0
1,2026-01-01T09:02:00,11.017626,76.956355,2.69,0
1,2026-01-01T09:03:00,11.017735,76.95652,3.02,0
1,2026-01-01T09:04:00,11.017843,76.95668,3.6,0
1,2026-01-01T09:05:00,11.018107,76.956846,3.36,0
1,2026-01-01T09:06:00,11.01845,76.956948,4.22,0
1,2026-01-01T09:07:00,11.018759,76.95715,1.62,0
1,2026-01-01T09:08:00,11.019146,76.957351,1.37,0
1,2026-01-01T09:09:00,11.019275,76.957705,3.41,0
1,2026-01-01T09:10:00,11.019617,76.958024,3.14,0
1,2026-01-01T09:11:00,11.020009,76.958238,3.21,0
1,2026-01-01T09:12:00,11.020358,76.958523,4.45,0
1,2026-01-01T09:13:00,11.020631,76.958835,1.18,0
1,2026-01-01T09:14:00,11.0208,76.959021,1.32,0
1,2026-01-01T09:15:00,11.02097,76.959152,2.11,0
1,2026-01-01T09:16:00,11.02126,76.959361,2.48,0
1,2026-01-01T09:17:00,11.021423,76.959541,4.75,0
1,2026-01-01T09:18:00,11.021718,76.959824,1.68,0
1,2026-01-01T09:19:00,11.022036,76.959973,2.52,0
1,2026-01-01T09:20:00,11.022433,76.960265,3.23,0
1,2026-01-01T09:21:00,11.022739,76.960618,4.1,0
1,2026-01-01T09:22:00,11.022907,76.960727,2.26,0
1,2026-01-01T09:23:00,11.023088,76.960891,4.77,0
1,2026-01-01T09:24:00,11.02345,76.961085,3.62,0
1,2026-01-01T09:25:00,11.023669,76.96146,2.84,0
1,2026-01-01T09:26:00,11.023849,76.961634,3.25,0
1,2026-01-01T09:27:00,11.024027,76.961909,4.59,0
1,2026-01-01T09:28:00,11.024247,76.962075,4.99,0
1,2026-01-01T09:29:00,11.0245,76.962202,1.19,0
1,2026-01-01T09:30:00,11.024633,76.96249,4.17,0
1,2026-01-01T09:31:00,11.02486,76.962609,2.53,0
1,2026-01-01T09:32:00,11.025259,76.962868,4.88,0
1,2026-01-01T09:33:00,11.025617,76.962971,3.88,0
1,2026-01-01T09:34:00,11.025921,76.963233,2.07,0
1,2026-01-01T09:35:00,11.026214,76.963366,2.74,0
1,2026-01-01T09:36:00,11.02645,76.963752,4.5,0
1,2026-01-01T09:37:00,11.026629,76.964002,1.71,0
1,2026-01-01T09:38:00,11.027002,76.964363,2.19,0
1,2026-01-01T09:39:00,11.027294,76.964646,1.61,0
1,2026-01-01T09:40:00,11.027623,76.964908,4.11,0
1,2026-01-01T09:41:00,11.027882,76.965008,2.3,0
1,2026-01-01T09:42:00,11.027988,76.965387,4.51,0
1,2026-01-01T09:43:00,11.028337,76.965579,1.23,0
1,2026-01-01T09:44:00,11.028701,76.965963,1.34,0
1,2026-01-01T09:45:00,11.028947,76.966084,4.04,0
1,2026-01-01T09:46:00,11.029276,76.966222,2.9,0
1,2026-01-01T09:47:00,11.029541,76.966402,4.49,0
1,2026-01-01T09:48:00,11.029768,76.966566,3.16,0
1,2026-01-01T09:49:00,11.030087,76.966726,2.25,0
2,2026-01-01T09:00:00,11.017199,76.956095,2.75,0
2,2026-01-01T09:01:00,11.017454,76.956231,1.9,0
2,2026-01-01T09:02:00,11.017655,76.956508,1.92,0
2,2026-01-01T09:03:00,11.017821,76.956629,3.52,0
2,2026-01-01T09:04:00,11.01799,76.957001,4.44,0
2,2026-01-01T09:05:00,11.018111,76.957172,3.68,0
2,2026-01-01T09:06:00,11.018276,76.957312,4.74,0
2,2026-01-01T09:07:00,11.018547,76.957554,4.14,0
2,2026-01-01T09:08:00,11.018889,76.957711,1.39,0
2,2026-01-01T09:09:00,11.019118,76.957938,2.87,0
2,2026-01-01T09:10:00,11.019437,76.95824,4.94,0
2,2026-01-01T09:11:00,11.019567,76.958461,2.36,0
2,2026-01-01T09:12:00,11.019925,76.958635,1.76,0
2,2026-01-01T09:13:00,11.02016,76.958862,2.11,0
2,2026-01-01T09:14:00,11.020335,76.959239,2.77,0
2,2026-01-01T09:15:00,11.020693,76.959504,1.2,0
2,2026-01-01T09:16:00,11.021093,76.959855,4.88,0
2,2026-01-01T09:17:00,11.021471,76.960209,1.67,0
2,2026-01-01T09:18:00,11.021716,76.960373,2.6,0
2,2026-01-01T09:19:00,11.021834,76.960587,4.94,0
2,2026-01-01T09:20:00,11.022014,76.960922,2.82,0
2,2026-01-01T09:21:00,11.022241,76.961309,4.98,0
